"date","station_triplet","station_name","elevation_ft","swe_in","depth_in","temp_f","precip_in"
2026-09-14,"418:WA:SNTL","Corral Pass",5810,0.1,0,37.8,0.1
2026-09-14,"642:WA:SNTL","Morse Lake",5400,0.1,1,40.3,0.1
2026-09-14,"1085:WA:SNTL","Cayuse Pass",5260,0.2,0,41,NA
2026-09-14,"679:WA:SNTL","Paradise",5150,0,2,39.7,0
2026-09-14,"375:WA:SNTL","Bumping Ridge",4600,0.2,0,43.9,NA
2026-09-14,"672:WA:SNTL","Olallie Meadows",4010,0,0,41.7,0
2026-09-14,"420:WA:SNTL","Cougar Mountain",3210,0.6,0,45.5,0.1
